"","country","year","admin1","admin2","vaccine_name","target_define","doses","target_number"
"5698","GHA",2022,"Greater Accra","Ayawaso West","MCV1","SURVIVING_INFANT",5943,3998
"5699","GHA",2022,"Greater Accra","Ga Central","MCV1","SURVIVING_INFANT",10342,14229
"5700","GHA",2022,"Greater Accra","Ga East","MCV1","SURVIVING_INFANT",10887,12284
"5701","GHA",2022,"Greater Accra","Ga North","MCV1","SURVIVING_INFANT",7414,10369
"5702","GHA",2022,"Greater Accra","Ga South","MCV1","SURVIVING_INFANT",12894,14941
"5703","GHA",2022,"Greater Accra","Ga West","MCV1","SURVIVING_INFANT",11530,13515
"5704","GHA",2022,"Greater Accra","Korle-Klottey","MCV1","SURVIVING_INFANT",7484,3733
"5705","GHA",2022,"Greater Accra","Kpone-Katamanso","MCV1","SURVIVING_INFANT",12076,17618
"5706","GHA",2022,"Greater Accra","Krowor","MCV1","SURVIVING_INFANT",6713,6695
"5707","GHA",2022,"Greater Accra","La-Dade-Kotopon","MCV1","SURVIVING_INFANT",9745,6585
"5708","GHA",2022,"Greater Accra","La-Nkwantanang-Madina","MCV1","SURVIVING_INFANT",7406,10743
"5709","GHA",2022,"Greater Accra","Ledzokuku","MCV1","SURVIVING_INFANT",8754,9653
"5710","GHA",2022,"Greater Accra","Ningo Prampram","MCV1","SURVIVING_INFANT",7269,9150
"5711","GHA",2022,"Greater Accra","Okai Koi North","MCV1","SURVIVING_INFANT",7806,7389
"5712","GHA",2022,"Greater Accra","Shai-Osudoku","MCV1","SURVIVING_INFANT",4967,5205
"5713","GHA",2022,"Greater Accra","Tema","MCV1","SURVIVING_INFANT",8451,8085
"5714","GHA",2022,"Greater Accra","Tema West","MCV1","SURVIVING_INFANT",7844,8813
"5715","GHA",2022,"Greater Accra","Weija-Gbawe","MCV1","SURVIVING_INFANT",8011,9508
"5716","GHA",2022,"North East","Bunkpurugu -Nakpanduri","MCV1","SURVIVING_INFANT",4447,4280
"5717","GHA",2022,"North East","Chereponi","MCV1","SURVIVING_INFANT",4353,4471
"5718","GHA",2022,"Ashanti","Old Tafo","YFV","SURVIVING_INFANT",6489,5554
"5719","GHA",2022,"Ashanti","Sekyere Afram Plains","YFV","SURVIVING_INFANT",2441,2300
"5720","GHA",2022,"Ashanti","Sekyere Central","YFV","SURVIVING_INFANT",3023,3916
"5721","GHA",2022,"Ashanti","Sekyere East","YFV","SURVIVING_INFANT",3830,3978
"5722","GHA",2022,"Ashanti","Sekyere Kumawu","YFV","SURVIVING_INFANT",2797,3564
"5723","GHA",2022,"Ashanti","Sekyere South","YFV","SURVIVING_INFANT",4926,5781
"5724","GHA",2022,"Ashanti","Suame","YFV","SURVIVING_INFANT",7164,6427
"5725","GHA",2022,"Bono","Banda","YFV","SURVIVING_INFANT",2106,2122
"5726","GHA",2022,"Bono","Berekum","YFV","SURVIVING_INFANT",5032,5231
"5727","GHA",2022,"Bono","Berekum West","YFV","SURVIVING_INFANT",2318,2970
"5728","GHA",2022,"Bono","Dormaa East","YFV","SURVIVING_INFANT",3783,3704
"5729","GHA",2022,"Bono","Dormaa Municipal","YFV","SURVIVING_INFANT",5538,5488
"5730","GHA",2022,"Bono","Dormaa West","YFV","SURVIVING_INFANT",3114,2908
"5731","GHA",2022,"Bono","Jaman North","YFV","SURVIVING_INFANT",5213,5695
"5732","GHA",2022,"Bono","Jaman South","YFV","SURVIVING_INFANT",5612,5316
"5733","GHA",2022,"Bono","Sunyani Municipal","YFV","SURVIVING_INFANT",7253,8709
"5734","GHA",2022,"Bono","Sunyani West","YFV","SURVIVING_INFANT",5049,6416
"5735","GHA",2022,"Bono","Tain","YFV","SURVIVING_INFANT",5662,5602
"5736","GHA",2022,"Bono","Wenchi","YFV","SURVIVING_INFANT",5719,5968
"5737","GHA",2022,"Bono East","Atebubu-Amanten","YFV","SURVIVING_INFANT",6629,6772
"5738","GHA",2022,"Bono East","Kintampo North","YFV","SURVIVING_INFANT",6690,6555
"5739","GHA",2022,"Upper West","Nadowli-Kaleo","YFV","SURVIVING_INFANT",3227,4068
"5740","GHA",2022,"Upper West","Nandom","YFV","SURVIVING_INFANT",2359,3044
"5741","GHA",2022,"Upper West","Sissala East","YFV","SURVIVING_INFANT",4323,4210
"5742","GHA",2022,"Upper West","Sissala West","YFV","SURVIVING_INFANT",3232,3542
