"","SR","District","AreaCode","TsName_Census","TsCode_MIMU","TsName_MIMU","Ts","y0","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","AtAb90","AllAges"
"41","Kayin","Hpa-an","AREA # 030102","Hlaingbwe","MMR003002","Hlaingbwe","Hlaingbwe",51,13,1,2,4,2,5,5,3,7,3,4,6,6,4,7,3,2,4,4,10,2,3,4,4,2,1,7,4,0,3,0,5,6,2,7,2,4,2,2,8,2,3,2,2,5,2,2,3,0,1,2,4,4,1,9,1,1,1,0,3,3,3,5,2,7,3,8,7,6,14,5,5,5,1,21,3,5,12,3,18,5,7,5,8,11,6,5,4,1,40,490
"42","Kayin","Pharpon","AREA # 030201","Pharpon","MMR003003","Hpapun","Pharpon",2,2,1,2,1,2,1,0,0,0,2,1,1,0,2,1,1,0,0,1,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,1,0,0,2,1,5,1,2,0,2,1,1,0,1,0,1,2,1,1,0,0,0,2,0,0,2,0,1,0,0,2,1,3,0,0,3,0,0,0,0,0,1,0,2,0,1,0,0,1,0,1,0,2,0,0,1,70
"43","Kayin","Pharpon","AREA # 030251","Kamamaung(ST}","MMR003003","Hpapun","Kamamaung(ST}",11,3,1,0,2,0,1,0,2,0,0,0,1,2,0,1,2,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,1,0,2,1,2,1,0,0,0,0,0,1,0,2,1,0,2,0,2,0,0,0,0,6,1,0,1,1,2,69
"44","Kayin","Hpa-an","AREA # 030154","Bawgali(ST)","MMR003004","Thandaunggyi","Bawgali(ST)",6,5,1,2,0,2,1,2,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,2,0,0,1,2,0,2,44
"45","Kayin","Hpa-an","AREA # 030153","Leiktho(ST)","MMR003004","Thandaunggyi","Leiktho(ST)",4,3,2,1,3,6,0,2,3,1,1,4,2,3,5,6,4,2,3,0,3,4,4,3,3,2,1,3,4,1,5,0,1,1,3,1,3,4,2,2,5,0,3,2,2,3,2,0,3,0,4,1,3,1,2,6,3,0,5,1,4,1,0,3,3,8,0,2,3,3,13,3,3,6,4,10,3,1,2,1,7,0,1,8,0,1,0,2,1,0,5,249
"46","Kayin","Hpa-an","AREA # 030103","Thandaunggyi","MMR003004","Thandaunggyi","Thandaunggyi",5,2,0,1,2,4,0,2,2,0,0,1,1,1,1,3,0,1,0,0,1,0,1,1,2,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,1,1,1,0,0,1,0,0,2,1,3,1,2,0,0,0,1,3,1,0,1,1,1,0,0,0,0,1,1,0,3,0,1,0,1,0,1,4,1,1,3,0,1,1,0,1,0,1,3,0,4,85
"47","Kayin","Myawady","AREA # 030301","Myawady","MMR003005","Myawaddy","Myawady",2,2,3,2,3,3,5,2,11,4,0,4,1,3,4,7,4,4,2,1,4,2,0,5,0,4,2,1,2,2,1,1,3,3,3,3,0,2,1,2,2,0,0,0,1,3,2,0,2,1,2,1,3,4,5,1,1,0,0,0,4,2,3,2,1,8,1,3,4,1,5,0,1,2,3,1,0,0,2,1,7,0,2,2,0,7,2,0,1,3,8,212
"48","Kayin","Myawady","AREA # 030352","Wawlaymyaing(ST)","MMR003005","Myawaddy","Wawlaymyaing(ST)",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,15
"49","Kayin","Myawady","AREA # 030351","Sugali(ST)","MMR003005","Myawaddy","Sugali(ST)",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8
"50","Kayin","Kawkareik","AREA # 030401","Kawkareik","MMR003006","Kawkareik","Kawkareik",56,20,21,16,10,7,3,17,9,6,7,12,10,7,8,3,7,5,9,7,6,4,6,2,5,6,1,4,4,4,13,5,4,7,8,21,2,8,11,9,15,9,8,5,8,17,9,7,9,4,24,7,13,9,13,28,7,13,7,4,25,8,6,13,12,19,12,14,11,5,35,8,10,15,15,33,13,11,18,6,44,11,14,14,18,18,11,13,8,15,53,1094
"51","Kayin","Kawkareik","AREA # 030402","Kyarinseikkyi","MMR003007","Kyainseikgyi","Kyarinseikkyi",26,11,14,7,12,3,6,6,5,6,9,3,6,2,6,0,1,2,3,6,5,1,3,4,1,3,4,4,2,3,2,2,4,1,0,6,1,3,7,1,5,1,1,3,2,4,4,3,3,1,6,1,2,2,1,7,3,3,4,2,6,2,5,3,3,6,3,7,1,2,10,5,6,4,6,12,3,10,5,1,13,5,4,7,6,10,6,3,3,2,19,427
"52","Kayin","Kawkareik","AREA # 030451","Payarthonezu(ST)","MMR003007","Kyainseikgyi","Payarthonezu(ST)",15,4,1,2,0,4,3,0,3,2,2,2,1,4,5,1,1,0,2,3,1,0,5,0,0,1,2,1,0,0,3,2,1,3,4,3,2,0,4,0,2,0,0,1,0,0,0,1,0,1,4,1,0,1,3,1,2,4,2,0,3,0,1,5,1,2,0,0,1,0,7,0,1,1,1,4,3,2,2,1,11,2,0,3,2,3,2,3,0,4,9,184
