"","SR","District","AreaCode","TsName_Census","TsCode_MIMU","TsName_MIMU","Ts","y6","y7","y8","y9","y10","PriAges"
"215","Mon","Mawlamyine","AREA # 100104","Thanbyuzayat","MMR011004","Thanbyuzayat","Thanbyuzayat",3,6,10,2,3,24
"216","Mon","Mawlamyine","AREA # 100105","Mudon","MMR011005","Mudon","Mudon",2,6,1,0,3,12
"217","Mon","Mawlamyine","AREA # 100106","Ye","MMR011006","Ye","Ye",1,2,2,4,3,12
"218","Mon","Mawlamyine","AREA # 100152","Khawzar","MMR011006","Ye","Khawzar",2,0,0,0,1,3
"219","Mon","Mawlamyine","AREA # 100151","Lamine","MMR011006","Ye","Lamine",1,1,0,1,1,4
"220","Mon","Thaton","AREA # 100201","Thaton","MMR011007","Thaton","Thaton",6,5,5,5,4,25
"221","Mon","Thaton","AREA # 100202","Paung","MMR011008","Paung","Paung",2,5,5,3,6,21
"222","Mon","Thaton","AREA # 100203","Kyaikto","MMR011009","Kyaikto","Kyaikto",4,0,5,6,2,17
"223","Mon","Thaton","AREA # 100204","Bilin","MMR011010","Bilin","Bilin",2,1,4,4,3,14
"224","Rakhine","Sittway","AREA # 110101","Sittway","MMR012001","Sittwe","Sittway",3,1,2,1,1,8
"225","Rakhine","Sittway","AREA # 110102","Ponnagyun","MMR012002","Ponnagyun","Ponnagyun",2,2,0,4,3,11
