"","Ts","AreaCode","CatNum","Severity","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","AtAb90"
"1001","Mone`","AREA # 130302","2","Yes - some difficulty","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1002","Mone`","AREA # 130302","3","Yes - a lot of difficulty","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1003","Maukme`","AREA # 130303","1","No - no difficulty","57","195","213","211","258","259","187","171","107","85","56","38","36","21","16","14","5","5","2","1","1","1","-","2","-","1","1","-","-","1","1","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-"
"1004","Maukme`","AREA # 130303","3","Yes - a lot of difficulty","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-"
"1005","Minepan","AREA # 130304","1","No - no difficulty","66","98","130","113","133","128","130","131","106","115","86","60","44","39","35","12","11","4","5","2","3","-","1","1","1","3","-","1","-","1","2","-","-","1","-","1","-","-","1","-","1","-","-","1","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","1","-","-","-","-","-","-"
"1006","Minepan","AREA # 130304","2","Yes - some difficulty","-","1","1","-","-","1","1","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1007","Minepan","AREA # 130304","4","Yes - cannot see at all","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1008","Homane(ST)","AREA # 130351","1","No - no difficulty","5","19","13","22","18","20","19","16","14","9","7","6","4","5","1","1","2","1","1","1","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","2","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1009","Kengtaung(ST)","AREA # 130352","1","No - no difficulty","25","52","66","67","68","52","73","70","61","49","30","28","22","10","6","5","4","3","-","-","2","-","2","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1010","Kengtaung(ST)","AREA # 130352","2","Yes - some difficulty","-","-","-","-","-","1","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1011","Lashio","AREA # 130401","1","No - no difficulty","683","1819","2187","2472","2202","2640","2277","2712","2496","2103","1621","1432","1079","919","635","432","232","141","88","72","46","38","31","29","18","24","21","19","13","10","15","5","10","17","10","13","5","7","8","10","7","3","2","6","3","5","4","8","1","6","3","5","4","3","4","4","2","-","3","-","2","1","1","3","1","3","1","1","1","2","1","-","2","-","1","1","2","2","1","1","-","-","1","1","-","3"
"1012","Lashio","AREA # 130401","2","Yes - some difficulty","-","1","1","-","1","1","2","4","-","6","2","4","4","1","-","3","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","1","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-"
